Material,delta H_mix,delta V_mix,delta S_mix,delta H_mix/delta S_mix,average_V,sigma_V,average_m,sigma_m,average_rho,sigma_rho,average_VEC,sigma_VEC,average_chi,sigma_chi
(CrHfMoWZr)C,0.410814831,0.24976237,13.35753951,0.030755277,22.0337793,0.153912521,133.3874375,0.388700719,6.019799831,0.362385572,9.1875,0.106913154,4.3171875,0.101150722
(CrHfNbVW)C,0.331207152,0.355680339,13.35753951,0.024795521,20.56567383,0.146574159,124.0077156,0.47824291,5.82385565,0.398457475,9.21875,0.080146376,4.2778125,0.083555902
(CrHfNbWZr)C,0.311592551,0.248330078,13.35753951,0.023327092,22.35135742,0.149602575,132.8186375,0.392561958,5.921573449,0.376320443,9,0.100154202,4.2121875,0.093761855
(CrHfTiVW)C,0.288455004,0.215211589,13.35753951,0.021594921,20.15364258,0.142072615,115.5690156,0.557282952,5.50326119,0.466097601,9.03125,0.097808263,4.2665625,0.084891474
(CrHfTiWZr)C,0.299341221,0.218486328,13.35753951,0.022409907,21.93932617,0.156337221,124.3799375,0.475511013,5.600978989,0.445384888,8.8125,0.11146265,4.2009375,0.094598078
(CrHfVWZr)C,0.37643503,0.336149089,13.35753951,0.028181465,21.49395508,0.174388133,124.9502188,0.4684357,5.705758051,0.418949027,9,0.100154202,4.2178125,0.093467821
(CrNbTiWZr)C,0.268645294,0.215309245,13.35753951,0.020111885,21.46448242,0.145618474,108.3330125,0.460781046,5.049045116,0.457565657,9,0.100154202,4.2571875,0.085393238
(CrNbVWZr)C,0.346652891,0.335472005,13.35753951,0.025951852,21.01911133,0.16225919,108.9032938,0.453391057,5.153824178,0.431435322,9.1875,0.083593236,4.2740625,0.083625378
(CrTaTiWZr)C,0.258006185,0.23944987,13.35753951,0.019315398,21.4534668,0.145520998,124.8407937,0.477926635,5.785740231,0.460843883,9,0.100154202,4.2384375,0.087551233
(CrTaVWZr)C,0.335785613,0.35180013,13.35753951,0.025138283,21.0080957,0.162114527,125.411075,0.470873943,5.890519293,0.434864821,9.1875,0.083593236,4.2553125,0.08600015
(CrTiVWZr)C,0.315955319,0.236253255,13.35753951,0.023653706,20.60708008,0.16180147,100.4645938,0.528001739,4.833229719,0.494361095,9,0.100154202,4.2628125,0.084935028
(HfNbTaTiZr)C,-0.018021252,-0.010797526,13.35753951,-0.001349145,23.30475586,0.090910808,127.2580563,0.413674983,5.416030323,0.399807485,8.375,0.057805722,4.0028125,0.029369202
(MoNbTaVW)C,0.291447812,0.138701172,13.35753951,0.021818974,20.88442383,0.08099005,132.7080719,0.404193957,6.254648525,0.37144469,9.40625,0.052213401,4.4090625,0.078603269
(HfNbTaTiV)C,0.018930337,0.097802734,13.35753951,0.001417202,21.51907227,0.111906682,118.4471344,0.497467799,5.318312524,0.420833934,8.59375,0.057149941,4.0684375,0.028113073
(HfMoVWZr)C,0.320605174,0.02789388,13.35753951,0.024001814,22.29856445,0.133797106,133.1897188,0.39127138,5.951789686,0.378382129,9,0.100154202,4.3115625,0.101638702
(HfMoTiWZr)C,0.223258715,-0.093414714,13.35753951,0.01671406,22.74393555,0.106790385,132.6194375,0.398807878,5.847010623,0.405885601,8.8125,0.11146265,4.2946875,0.103534571
(NbTaTiVW)C,0.125476869,0.108883464,13.35753951,0.009393711,20.7899707,0.082017627,123.7005719,0.490056171,5.835827683,0.455248533,9.03125,0.070489788,4.2928125,0.076802575
(HfNbTaTiW)C,0.088338792,-0.051445313,13.35753951,0.006613403,22.19644531,0.07293447,147.5208688,0.387276127,6.586113776,0.376552244,8.8125,0.087150395,4.228125,0.088426185
(HfTaTiWZr)C,0.10509475,-0.179873047,13.35753951,0.007867823,23.05049805,0.098362443,148.5584188,0.375500417,6.485479355,0.394501256,8.625,0.095035341,4.1709375,0.096285587
(HfMoTaWZr)C,0.236581382,-0.090888672,13.35753951,0.017711449,23.14495117,0.093339465,157.5659188,0.274184815,6.904300197,0.301772422,9,0.100154202,4.2871875,0.104581325
(TiVNbTaMo)C,0.093243513,0.112272135,13.35753951,0.006980591,20.88345703,0.079013634,108.5329594,0.450867224,5.09316026,0.394738605,9.03125,0.070489788,4.245,0.058942853
(TiZrHfTaMo)C,0.079988385,-0.072845052,13.35753951,0.005988257,22.88888672,0.09797393,132.1321031,0.394029426,5.728852246,0.372368608,8.65625,0.094070861,4.1325,0.077169843
(TiHfNbTaMo)C,0.062277337,-0.007265625,13.35753951,0.004662336,22.21570313,0.073048164,132.4483031,0.391792785,5.86090953,0.347867887,8.84375,0.08531941,4.183125,0.070608595
(HfNbTaZr)C,-0.05895384,-0.155078125,11.52634447,-0.005114704,24.05226563,0.06611172,147.902075,0.296416016,6.197590641,0.313355619,8.5,0.058823529,3.9825,0.03092567
(HfTiTaZr)C,0.004118301,0.025234375,11.52634447,0.000357295,23.50289063,0.096083948,136.650475,0.418409686,5.770131362,0.411509843,8.25,0.052486388,3.9675,0.026216313
(TaZrNb)C,-0.055278283,-0.155537109,9.126203571,-0.006057095,23.75022461,0.072421687,134.6019656,0.31382275,5.763997726,0.357589974,8.65625,0.054868896,4.0228125,0.027591757
(HfMoTaTi)C,0.075428078,-0.003229167,11.52634447,0.006543972,22.181875,0.083164949,137.830475,0.410061156,6.077176251,0.360658557,8.75,0.094760708,4.175,0.077122401
(CrMoNbVW)C,0.378201852,0.335498047,13.35753951,0.028313736,19.77325195,0.109301138,108.5295906,0.460422117,5.37014816,0.40224467,9.59375,0.051192943,4.4390625,0.07211008
(CrMoNbTaW)C,0.380473167,0.374713542,13.35753951,0.028483776,20.76070313,0.103073772,136.9684906,0.385852692,6.481410423,0.342572483,9.59375,0.051192943,4.410625,0.078568427
(CrMoTaVW)C,0.373755745,0.430159505,13.35753951,0.027980883,19.76223633,0.108653314,125.0373719,0.477085882,6.106843274,0.399931184,9.59375,0.051192943,4.4203125,0.076660382
(CrMoTiVW)C,0.2971758,0.20992513,13.35753951,0.022247795,19.3612207,0.091373732,100.0908906,0.534910078,5.0495537,0.467372291,9.40625,0.083454197,4.4278125,0.074739765
(CrHfTaWZr)C,0.293265332,0.22851237,13.35753951,0.021955041,22.3403418,0.149652595,149.3264188,0.365461591,6.658268563,0.350689845,9,0.100154202,4.1934375,0.095337958
(CrMoTiWZr)C,0.356097141,0.24882487,13.35753951,0.026658887,21.1469043,0.145950211,108.9018125,0.458145869,5.147271499,0.447338524,9.1875,0.106913154,4.3621875,0.090955765
(CrHfMoTiW)C,0.342115903,0.197304688,13.35753951,0.025612195,20.76769531,0.126135569,123.9111875,0.482900889,5.799839793,0.416729267,9.1875,0.106913154,4.363125,0.09112143
(ZrNbTiV)C,0.113295541,0.095729167,11.52634447,0.009829269,21.74125,0.138181629,82.752975,0.258077118,3.764205516,0.166268007,8.5,0.058823529,4.075,0.028749385
(TaNbTiV)C,-0.018064744,0.149348958,11.52634447,-0.001567257,20.82898438,0.090087734,105.18495,0.510593224,4.922542047,0.447390588,8.75,0.049487166,4.1175,0.012309129
(TiZrHfVNb)C,0.123215303,0.088264974,13.35753951,0.009224401,22.27194336,0.134917392,103.0296031,0.448510273,4.502992536,0.353400261,8.4375,0.058794474,4.0384375,0.034104667
(HfNbZrTi)C,0.03863403,0.035859375,11.52634447,0.003351802,23.51757813,0.095746053,114.6401,0.413187356,4.787871209,0.361977344,8.25,0.052486388,3.9925,0.032482686
(TiZrNbTaMo)C,0.073426656,-0.031542969,13.35753951,0.00549702,22.41404297,0.088510204,116.0851781,0.380714035,5.176918373,0.376857545,8.84375,0.08531941,4.18875,0.069039207
(NbTaMoW)C,0.341190536,-0.001041667,11.52634447,0.029600932,21.7290625,0.035983165,150.422075,0.292596084,6.929885553,0.293905893,9.5,0.052631579,4.455,0.081637778
(TiZrHfVNbTaMoW)C,0.16000834,-0.01390625,17.2895167,0.009254645,22.05171875,0.111330011,127.285475,0.422554253,5.715001449,0.399555894,8.875,0.087957718,4.2275,0.084486736
(TiZrHfVNbTaCrMo)C,0.20590019,0.1409375,17.2895167,0.011908962,21.488125,0.142440975,110.803725,0.454295334,5.035883689,0.375361244,8.875,0.087957718,4.14,0.060010909
(TiZrHfVNbTaCrW)C,0.206715977,0.1271875,17.2895167,0.011956145,21.5153125,0.142033541,121.792475,0.472842113,5.55098036,0.425479436,8.875,0.087957718,4.165,0.07384661
(TiZrHfVTa)C,0.092809505,0.102679036,13.35753951,0.006948099,22.2590918,0.134948905,122.2886813,0.486037919,5.36247017,0.434656825,8.4375,0.058794474,4.0165625,0.031292514
(TiZrVNbTa)C,0.024590972,0.048997396,13.35753951,0.001840981,21.92714844,0.119560264,107.5531594,0.455415678,4.846505529,0.42436774,8.625,0.056130193,4.071875,0.025280547
(ZrHfVNbTa)C,0.053621561,0.012018229,13.35753951,0.004014329,22.81402344,0.119750862,132.0387844,0.390908213,5.719033862,0.358853748,8.625,0.056130193,4.026875,0.033075889
(TiZrHfTaLaY)C,0.186815827,-0.504020182,14.86572242,0.012566885,28.39766602,0.244996531,132.6253094,0.361965102,4.885178627,0.451771662,7.78125,0.089351789,3.8709375,0.039730134
(TiZrHfTaNbLaY)C,0.111441517,-0.572434896,16.12993729,0.006908986,27.39878906,0.245371946,130.0975156,0.350504417,4.946458957,0.422004842,8,0.098821177,3.918125,0.044378172
(TiZrHfTaNbMoWLa)C,0.301722105,-0.336497396,17.2895167,0.017451159,24.84503906,0.247479752,138.280975,0.348651844,5.744928663,0.392641122,8.625,0.115032666,4.16125,0.097492802
(TiZrHfTaNbMoW)C,0.154777002,-0.095234375,16.12993729,0.009595636,22.52242188,0.086617123,138.2191719,0.366416523,6.143177195,0.368445399,8.9375,0.092508787,4.261875,0.090604798
(TaTiZr)C,-0.022823116,0.021009115,9.126203571,-0.002500834,22.88263672,0.103133172,119.1837156,0.471520332,5.198250764,0.477920236,8.34375,0.056923911,4.010625,0.022344413
(ZrTaNbTi)C,-0.05034235,-0.019453125,11.52634447,-0.00436759,22.86976563,0.090876879,115.254575,0.419537683,5.034219531,0.424682339,8.5,0.058823529,4.0425,0.024822056
(TiZrNbTaW)C,0.10760841,-0.082871094,13.35753951,0.008056005,22.46162109,0.086720962,135.3154906,0.402142092,6.078337548,0.426247953,8.84375,0.08531941,4.2325,0.087154979
